ItC	Msort	Qsort
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0.008	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0.008	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0.008
36	0	0
37	0	0
38	0	0
39	0	0
40	0.008	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0.008	0
53	0	0
54	0	0
55	0	0
56	0	0.008
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0.008
63	0.008	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0.008
77	0	0.008
78	0	0
79	0.008	0
80	0	0
81	0	0.024
82	0	0
83	0	0
84	0.008	0
85	0.008	0
86	0	0
87	0.008	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0.008	0
93	0	0.008
94	0.008	0
95	0.008	0
96	0	0
97	0	0
98	0	0
99	0	0.008
100	0	0
101	0	0
102	0	0
103	0	0.008
104	0.008	0
105	0	0
106	0	0.008
107	0	0
108	0	0
109	0	0
110	0.008	0
111	0	0
112	0	0
113	0	0.008
114	0	0
115	0	0.008
116	0	0
117	0	0
118	0.008	0
119	0	0
120	0	0.008
121	0	0
122	0	0.008
123	0	0
124	0.008	0
125	0	0
126	0.008	0
127	0	0
128	0.008	0
129	0.008	0
130	0	0.008
131	0	0.008
132	0.008	0
133	0.008	0
134	0	0.008
135	0.008	0
136	0	0.008
137	0	0
138	0	0.008
139	0	0.008
140	0.008	0
141	0	0.008
142	0.008	0
143	0	0.008
144	0	0.008
145	0	0
146	0	0
147	0.008	0
148	0.008	0
149	0.004	0.001
150	0.008	0
151	0.006	0.006
152	0	0
153	0.004	0
154	0.002	0
155	0	0.008
156	0.009	0
157	0.008	0
158	0	0
159	0	0
160	0.008	0
161	0.008	0
162	0.008	0
163	0.008	0
164	0.008	0
165	0	0.008
166	0	0.008
167	0	0.006
168	0	0.005
169	0.003	0
170	0	0.008
171	0	0.008
172	0.001	0.005
173	0	0.008
174	0	0
175	0	0.005
176	0	0.008
177	0.008	0
178	0.008	0
179	0	0.008
180	0	0.008
181	0.008	0
182	0.008	0
183	0.008	0
184	0.008	0
185	0.008	0
186	0.008	0
187	0	0.008
188	0.008	0
189	0	0
190	0.008	0
191	0	0.008
192	0	0.008
193	0	0.008
194	0.008	0
195	0.008	0
196	0.008	0
197	0.008	0
198	0.008	0
199	0.008	0
200	0	0.008
201	0	0.008
202	0	0.008
203	0	0.008
204	0.016	0
205	0.008	0
206	0.008	0
207	0	0
208	0.008	0
209	0.008	0
210	0	0
