ItCount InsSort		SelSort
1       0.000000        0.000000
2       0.000000        0.000000
3       0.000000        0.000000
4       0.000000        0.000000
5       0.000000        0.000000
6       0.005000        0.000000
7       0.000000        0.000000
8       0.000000        0.000000
9       0.009000        0.000000
10      0.002000        0.000000
11      0.000000        0.000000
12      0.008000        0.000000
13      0.000000        0.000000
14      0.000000        0.001000
15      0.004000        0.007000
16      0.009000        0.000000
17      0.007000        0.003000
18      0.006000        0.004000
19      0.011000        0.000000
20      0.008000        0.011000
21      0.008000        0.003000
22      0.009000        0.005000
23      0.007000        0.008000
24      0.007000        0.018000
25      0.008000        0.009000
26      0.001000        0.009000
27      0.010000        0.011000
28      0.007000        0.010000
29      0.012000        0.010000
30      0.014000        0.010000
31      0.017000        0.008000
32      0.018000        0.009000
33      0.016000        0.010000
34      0.017000        0.008000
35      0.017000        0.014000
36      0.017000        0.017000
37      0.008000        0.016000
38      0.009000        0.016000
39      0.018000        0.017000
40      0.025000        0.016000
41      0.028000        0.026000
42      0.021000        0.015000
43      0.019000        0.022000
44      0.021000        0.025000
45      0.025000        0.025000
46      0.034000        0.020000
47      0.021000        0.030000
48      0.024000        0.029000
49      0.027000        0.030000
50      0.025000        0.030000
51      0.034000        0.032000
52      0.031000        0.035000
53      0.032000        0.034000
54      0.055000        0.036000
55      0.049000        0.048000
56      0.024000        0.040000
57      0.047000        0.040000
58      0.025000        0.059000
59      0.043000        0.050000
60      0.024000        0.061000
61      0.041000        0.064000
62      0.043000        0.074000
63      0.053000        0.054000
64      0.033000        0.052000
65      0.060000        0.052000
66      0.047000        0.051000
67      0.063000        0.053000
68      0.067000        0.077000
69      0.055000        0.096000
70      0.058000        0.057000
71      0.069000        0.064000
72      0.060000        0.066000
73      0.090000        0.074000
74      0.031000        0.064000
75      0.062000        0.068000
76      0.058000        0.062000
77      0.063000        0.057000
78      0.070000        0.097000
79      0.079000        0.066000
80      0.063000        0.086000
81      0.078000        0.068000
82      0.062000        0.084000
83      0.064000        0.076000
84      0.046000        0.065000
85      0.088000        0.082000
86      0.067000        0.083000
87      0.077000        0.080000
88      0.056000        0.101000
89      0.100000        0.080000
90      0.092000        0.107000
91      0.125000        0.083000
92      0.097000        0.113000
93      0.089000        0.126000
94      0.106000        0.095000
95      0.095000        0.095000
96      0.078000        0.099000
97      0.155000        0.134000
98      0.152000        0.115000
99      0.117000        0.133000
100     0.151000        0.151000
101     0.066000        0.129000
102     0.122000        0.128000
103     0.125000        0.134000
104     0.094000        0.131000
105     0.101000        0.118000
106     0.105000        0.114000
107     0.093000        0.115000
108     0.161000        0.127000
109     0.163000        0.123000
110     0.126000        0.118000
111     0.065000        0.134000
112     0.148000        0.119000
113     0.146000        0.136000
114     0.063000        0.124000
115     0.062000        0.130000
116     0.071000        0.142000
117     0.141000        0.142000
118     0.089000        0.135000
119     0.065000        0.154000
120     0.155000        0.153000
121     0.150000        0.155000
122     0.153000        0.151000
123     0.158000        0.142000
124     0.153000        0.152000
125     0.120000        0.179000
126     0.198000        0.193000
127     0.399000        0.495000
128     0.440000        0.308000
129     0.530000        0.534000
130     0.569000        0.594000
131     0.557000        0.576000
132     0.407000        0.558000
133     0.647000        0.600000
134     0.389000        0.634000
135     0.321000        0.645000
136     0.436000        0.635000
137     0.523000        0.452000
138     0.671000        0.524000
139     0.403000        0.538000
140     0.553000        0.558000
141     0.403000        0.473000
142     0.398000        0.403000
143     0.463000        0.470000
144     0.368000        0.668000
145     0.602000        0.574000
146     0.673000        0.710000
147     0.560000        0.735000
148     0.601000        0.681000
149     0.810000        0.467000
150     0.389000        0.774000
151     0.651000        0.767000
152     0.568000        0.801000
153     0.733000        0.759000
154     0.713000        0.819000
155     0.530000        0.790000
156     0.473000        0.838000
157     0.501000        0.808000
158     0.914000        0.875000
159     0.549000        0.854000
160     0.895000        0.886000
161     0.444000        0.833000
162     0.960000        0.840000
163     0.833000        0.921000
164     0.552000        0.919000
165     0.577000        0.948000
166     0.818000        0.883000
167     0.993000        0.964000
168     1.002000        0.984000
169     0.127000        0.413000
170     0.141000        0.288000
171     0.302000        0.307000
172     0.141000        0.279000
173     0.141000        0.277000
174     0.141000        0.307000
175     0.306000        0.321000
176     0.142000        0.301000
177     0.309000        0.308000
178     0.141000        0.315000
179     0.314000        0.330000
180     0.231000        0.328000
181     0.170000        0.314000
182     0.153000        0.338000
183     0.161000        0.309000
184     0.331000        0.330000
185     0.347000        0.328000
186     0.335000        0.339000
187     0.158000        0.335000
188     0.157000        0.341000
189     0.186000        0.359000
190     0.157000        0.347000
191     0.173000        0.341000
192     0.172000        0.358000
193     0.377000        0.357000
194     0.385000        0.365000
195     0.375000        0.378000
196     0.376000        0.376000
197     0.184000        0.369000
198     0.187000        0.367000
199     0.188000        0.388000
200     0.403000        0.372000
201     0.210000        0.398000
202     0.422000        0.433000
203     0.419000        0.434000
204     0.188000        0.425000
205     0.433000        0.426000
206     0.378000        0.421000
207     0.421000        0.422000
208     0.223000        0.413000
209     0.476000        0.505000
210     0.462000        0.508000
211     0.438000        0.453000
212     0.203000        0.450000
213     0.200000        0.446000
214     0.215000        0.464000
215     0.220000        0.432000
216     0.225000        0.457000
217     0.214000        0.449000
218     0.235000        0.444000
219     0.422000        0.475000
220     0.216000        0.465000
221     0.233000        0.463000
222     0.230000        0.476000
223     0.231000        0.477000
224     0.233000        0.480000
225     0.234000        0.509000
226     0.235000        0.484000
227     0.348000        0.486000
228     0.422000        0.550000
229     0.526000        0.521000
230     0.236000        0.552000
231     0.254000        0.530000
232     0.357000        0.647000
233     0.573000        0.537000
234     0.549000        0.540000
235     0.267000        0.541000
236     0.408000        0.572000
237     0.259000        0.576000
238     0.943000        0.547000
239     1.508000        1.694000
240     1.325000        1.826000
241     1.108000        1.915000
242     1.367000        1.616000
243     1.894000        1.737000
244     1.383000        2.075000
245     1.935000        2.055000
246     1.419000        2.087000
247     1.835000        2.081000
248     1.374000        2.041000
249     2.056000        1.998000
